"key";"verbatimScientificName"
NA;"Cothumia minutissima"
NA;"Cothumiopsis valvata"
"8091632";"Cyclidium glaucoma"
"8358387";"Cyclidium muscicola"
"8050749";"Cyclidium terricola"
"7530738";"Cyrtolophosis acuta"
"8047474";"Cyrtolophosis colpidiformis"
"7961832";"Cyrtolophosis elongata"
"7458832";"Cyrtolophosis minor"
"8094171";"Cyrtolophosis mucicola"
"7376743";"Dapedophrya flexilis"
"8107698";"Deviata bacilliformis"
"7529454";"Dileptus orientalis"
"8360166";"Drepanomonas dentata"
"8279721";"Drepanomonas exigua"
"7470246";"Drepanomonas muscicola"
"8373930";"Drepanomonas pauciciliata"
"7973731";"Drepanomonas sphagni"
"7582540";"Engelmanniella mobilis"
"7549311";"Epistylis alpestris"
"8330241";"Erniella filiformis"
"7459106";"Euplotes corsica"
"7744469";"Euplotes finki"
"9808526";"Euplotes labiatus"
"7529940";"Euplotes muscicola"
"7542921";"Euplotes terricola"
"8423614";"Furgasonia trichocystis"
"7431306";"Gastronauta derouxi"
"8254475";"Gastronauta membranaceus"
"8118053";"Gonostomum strenua"
"7784583";"Halterioforma caudata"
"7350316";"Haplocaulus terrenus"
"7553903";"Hastatella radians"
"8078110";"Hausmanniella discoidea"
"8311170";"Hemisincirra gellerti"
"7479147";"Hemisincirra gracilis"
"7355433";"Hemisincirra inquieta"
"7399328";"Hemisincirra kahli"
"7611475";"Hemisincirra muelleri"
"8274582";"Hemisincirra pori"
"7403734";"Hemisincirra similis"
"8028953";"Holosticha islandica"
"7832910";"Holosticha muscicola"
"7979862";"Holosticha sigmoidea"
"7997569";"Holostichides terricola"
"7578575";"Holostichides wilberti"
"7653024";"Idiocolpoda pelobia"
"8163778";"Ilsiella palustris"
"7847506";"Ilsiella venusta"
"8167665";"Kahliella acrobates"
"7944009";"Kahlilembus attenuatus"
"7877749";"Lamtostyla edaphoni"
"7480876";"Maryna acuminata"
"7708999";"Maryna antarctica"
"8031223";"Maryna atra"
"7606668";"Maryna lichenicola"
"7670289";"Maryna umbrellata"
"7769227";"Metopus contractus"
"8016226";"Metopus hasei"
"7678405";"Metopus ovalis"
"8412296";"Metopus palaeformis"
"8138917";"Metopus rectus"
"7679939";"Metopus setosus"
"7492783";"Microdiaphanosoma arcuatum"
"7717115";"Microthorax simulans"
"8116589";"Mycterothrix tuamotuensis"
"7930771";"Neogeneia hortualis"
"7917408";"Notohymena australis"
"8290993";"Notoxoma parabryophryides"
"7724790";"Notoxoma sigmoides"
"7447248";"Odontochlamys convexa"
"7552351";"Odontochlamys gouraudi"
"7743197";"Odontochlamys wisconsinensis"
"7788922";"Opercularia asymmetrica"
"8237243";"Opercularia curvicaule"
"8097772";"Opisthonecta minima"
"9103818";"Opisthotricha terricola"
"8052477";"Orthoamphisiella stramenticola"
"7472879";"Orthokreyella schiffmanni"
"8037938";"Oxytricha histrioides"
"9000164";"Oxytricha quercineti"
"7429863";"Oxytricha siseris"
"7968629";"Parabryophrya penardi"
"8424887";"Pedohymena australiense"
"7739586";"Phacodinium metchnicoffi"
"8062664";"Plagiocampa rouxi"
"7961439";"Platycola steineri"
"7755989";"Platyophrya macrostoma"
"8258329";"Platyophrya paoletti"
"7958699";"Protocyclidium terrenum"
"8342368";"Pseudocarchesium claudicans"
"7598030";"Pseudochilodonopsis mutabilis"
"7663295";"Pseudochilodonopsis polyvacuolata"
"8286565";"Pseudocohnilembus marinus"
"7803056";"Pseudocohnilembus pusillus"
"7889233";"Pseudocohnilembus putrinus"
"8037046";"Pseudocyrtolophosis terricola"
"8155820";"Pseudokreyella australis"
"7855221";"Pseudokreyella terricola"
"8255523";"Pseudomicrothorax agilis"
"8275599";"Pseudomicrothorax dubius"
"8083516";"Pseudothuricola dionysii"
"8334060";"Pseudouroleptus buitkampi"
"7795527";"Pseudovorticella mutans"
"8228684";"Pseudovorticella sphagni"
NA;"Pyxidium tardigradum"
"8254606";"Rostrophryides australis"
"7509606";"Sagittaria hyalina"
"7399453";"Sathrophilus muscorum"
"7819315";"Semiplatyophrya foissneri"
"8158554";"Stammeridium kahli"
"7650617";"Sterkiella similis"
"8354794";"Stichotricha aculeata"
"8199648";"Stylonychia bifaria"
"8008384";"Stylonychia mytilus"
NA;"Teetohymena terncola"
"8125679";"Telotrochidium cylindricum"
"7803675";"Terricirra livida"
"7694891";"Terricirra matsusakai"
"7388836";"Terricirra viridis"
"8139004";"Tetrahymena edaphoni"
"7866224";"Tetrahymena rostrata"
"7707822";"Thuricola innixa"
"7554259";"Thylakidium typicum"
"7780989";"Trihymena terricola"
"7810622";"Trithigmostoma bavariensis"
"8261462";"Urliella terticola"
"7510309";"Uroleptus musculus"
"8011757";"Urosoma macrostyla"
"7770200";"Urosoma octonucleata"
"8091504";"Urosomoida agiliformis"
"7918204";"Urosomoida granulifera"
"7950441";"Vaginicola chaperoni"
"7505219";"Vaginicola doliolum"
"8103918";"Vaginicola terricola"
"7637050";"Vaginicola virgula"
"7351754";"Vorticella astyliformis"
"7525562";"Vorticella infusionum"
"8109018";"Vorticella lichenicola"
"7813028";"Vorticella microstoma"
"7612863";"Vorticella muralis"
"7876435";"Vorticella operculariformis"
"7578445";"Vorticella similis"
"7964734";"Wallackia bujoreani"
"8402186";"Woodruffia australis"
"7764311";"Amphisiella magnigranulosa"
"7750523";"Balantidioides corbifera"
"7731136";"Didinium nasutum"
"7436272";"Gastrostyla muscorum"
"7737031";"Hausmanniella patella"
"8253072";"Hausmanniella quinquecirrata"
"7642388";"Kalometopia duplicata"
"7948573";"Keronella gracilis"
"7435552";"Keronopsis algivora"
"7788463";"Keronopsis alpestris"
"7596749";"Keronopsis wetzeli"
"7459052";"Monodinium balbiani"
"7461602";"Paraholosticha lichenicola"
"8369369";"Paraholosticha nana"
"8149010";"Platyophryides latus"
"8069432";"Psilotricha succisa"
"7350821";"Acineta flava"
"7738789";"Acropisthium mutabile"
"7465520";"Actinobolina vorax"
"7981328";"Amphisiella quadrinucleata"
"7390440";"Apobryophyllum terricola"
"7784323";"Arcuospathidium atypicum"
"8276304";"Arcuospathidium cooperi"
"7713932";"Arcuospathidium cultriforme"
"7805176";"Arcuospathidium japonicum"
"7995850";"Arcuospathidium lionotiforme"
"7995850";"Arcuospathidium rnuscorum"
"7507923";"Arcuospathidium vermiforme"
"7674205";"Balantidioides bivacuolata"
"7747477";"Balantidioides dragescoi"
NA;"Bresslau asicaria"
"7497647";"Bresslauides terricola"
"8258099";"Bryophyllum loxophylliforme"
"7983038";"Bryophyllum tegularum"
"7705676";"Chilophrya terricola"
"7950847";"Cirrophrya terricola"
"7463820";"Corallocolpoda grelli"
"8042226";"Corallocolpoda pacifica"
"7653070";"Corticocolpoda kaneshiroae"
"7609928";"Cyrtohymena quadrinucleata"
"7905422";"Dileptus alpinus"
"8330662";"Dileptus anguillula"
"7772826";"Dileptus binucleatus"
"7454701";"Dileptus costaricanus"
"7512224";"Dileptus edaphoni"
"7604006";"Dileptus falciformis"
"7880928";"Dileptus gracilis"
"7531521";"Dileptus kahli"
"8296186";"Dileptus mucronatus"
"8325902";"Dileptus polyvacuolatus"
"8111463";"Dileptus similis"
"7614589";"Dileptus tenuis"
"7806743";"Dileptus terrenus"
"7410447";"Dileptus visscheri"
"8366186";"Enchelydium piliforme"
"8329652";"Enchelydium polynucleatum"
"8155005";"Enchelydium terrenum"
"7532482";"Enchelyodon californicus"
"7538952";"Enchelyodon lagenula"
"7488033";"Enchelyodon longinucleatus"
"7467059";"Enchelyodon nodosus"
"8085759";"Enchelyodon terrenus"
"7577149";"Enchelyodon tratzi"
"8087936";"Enchelyomorpha vermicularis"
"8021104";"Enchelyotricha binucleata"
"7511333";"Enchelys multinucleata"
"7821133";"Enchelys terricola"
"7498425";"Enchelys vermiformis"
"8233239";"Epispathidium amphoriforme"
"7900557";"Epispathidium ascendens"
"8173937";"Epispathidium papilliferum"
"7633577";"Epispathidium regium"
"8302110";"Frontonia terricola"
"8391563";"Fuscheria lacustris"
"7513833";"Fuscheria nodosa"
"8188416";"Fuscheria terricola"
"7949381";"Gastrostyla dorsicirrata"
"8259839";"Gastrostyla steinii"
"7861564";"Holosticha sylvatica"
"8272070";"Keronopsis helluo"
"7624418";"Keronopsis tasmaniensis"
"8084909";"Krassniggia auxiliaris"
"7920675";"Kuehneltiella muscicola"
"7412340";"Lagynophrya geleii"
"7990764";"Lagynophrya trichocystis"
"7864222";"Litonotus crinitus"
"8425588";"Litonotus digitatus"
"7790130";"Litonotus muscorum"
"7443891";"Metacineta micraster"
"8425237";"Metacineta mystacina"
"7456585";"Papillorhabdos multinucleatus"
"7592556";"Paracineta lauterbomi"
"8338250";"Paraenchelys terricola"
"7490550";"Paraenchelys wenzeli"
"8175667";"Parakahliella terricola"
"7506589";"Pentahymena corticicola"
"7526876";"Phialina binucleata"
"7855042";"Phialina flagellifera"
"8357519";"Phialina terricola"
"7582007";"Phialinides australis"
"7642622";"Platyophryides dragescoi"
"7363436";"Platyophryides magnus"
"8291237";"Pleuroplitoides smithi"
"7699420";"Podophrya halophila"
"8010048";"Protospathidium bonnetti"
"7803635";"Protospathidium serpens"
"8411559";"Protospathidium terricola"
"7948512";"Pseudoholophrya terricola"
"7963029";"Solenophrya flavescens"
"8323229";"Solenophrya massula"
"8046289";"Solenophrya sacculus"
"7826961";"Sorogena stoianovitchae"
"7386430";"Spathidium alpinum"
"7469569";"Spathidium anguilla"
"7658845";"Spathidium bavariense"
"7558471";"Spathidium claviforme"
"8217651";"Spathidium furcatum"
"7458115";"Spathidium geobium"
"7897919";"Spathidium holsatiae"
"7989776";"Spathidium lagyniforme"
"7823635";"Spathidium multinucleatum"
"7776706";"Spathidium muscicola"
"7692438";"Spathidium procerum"
"7540493";"Spathidium rusticanum"
"7603373";"Spathidium seppelti"
"7574684";"Spathidium spathula"
"7926595";"Spathidium spathuloides"
"7604945";"Spetazoon australiense"
"7919500";"Sphaerophrya terricola"
"7610663";"Stylonychia quadnnucleata"
"8322650";"Terricirra stramenticola"
"7665102";"Tokophrya muscicola"
"7494454";"Trachelophyllum apiculatum"
"7535035";"Urostyla muscorum"
"7879546";"Woodruffia rostrata"
"7387137";"Woodruffides metabolicus"
NA;"Bryopbrya bavariensis"
"7922216";"Bryophrya rubescens"
"7552767";"Colpoda reniformis"
"8290778";"Frontonia solea"
"7436182";"Glaucoma gigantea"
"7922505";"Holostichides chardezi"
"7503159";"Kuklikophrya ougandae"
"7878699";"Leptopharynx eurystoma"
"8066981";"Nassula citrea"
"8129437";"Nassula picta"
"7356029";"Nassula protectissima"
"7440403";"Nassula terricola"
"8282652";"Obertrumia kahli"
"7790494";"Thuricola kellicottiana"
"7715672";"Avestina ludwigi"
"7614723";"Grossglockneria acuta"
"8408153";"Grossglockneria hyalina"
"8205625";"Nivaliella plana"
"7983225";"Platyophrya binucleata"
"8374002";"Pseudoplatyophrya saltans"
"7442939";"Balantidioides muscicola"
NA;"Archaea"
"7885156";"Oxytricha proximata"
"8045570";"Uroleptus humicola"
"8058518";"Urosoma macrostoma"
"3152707";"Abelmoschus esculentus"
"2979775";"Acacia mearnsii"
"5415455";"Acanthus mollis"
"3189694";"Actinidia chinensis"
"3034619";"Aegopodium"
"5401673";"Ageratum conyzoides"
"5401760";"Ageratum houstonianum"
"3001953";"Agrimonia"
"3001959";"Agrimonia pubescens"
"2705193";"Agropyron"
"2706653";"Agropyron repens"
"2706434";"Agrostis"
"2706490";"Agrostis capillaris"
"2706439";"Agrostis palustris"
"2706435";"Agrostis stolonifera"
"7890713";"Alchemilla vulgaris"
"2945087";"Alhagi"
"2945106";"Alhagi persarum"
"2856126";"Allium cardiostemon"
"2857697";"Allium cepa"
"2856681";"Allium sativum"
"2777937";"Aloe plicatilis"
"3064";"Amaranthaceae"
"3085074";"Amaranthus"
"3034182";"Ammi majus"
"3034645";"Anethum"
"5371808";"Angelica archangelica"
"5371818";"Angelica sylvestris"
"7707728";"Angiosperma"
"5371743";"Anthriscus caucalis"
"6027243";"Anthriscus nemorosa"
"5371742";"Anthriscus sylvestris"
"3034812";"Apium"
"3094355";"Aposeris foetida"
"5353770";"Arachis hypogaea"
"760";"Arcellinida"
"2";"Archaea"
"8106066";"Arctium"
"5384500";"Arenaria fendleri"
"7937950";"Arenaria peploides"
"3034509";"Arracacia xanthorrhiza"
"3120641";"Artemisia"
"3120957";"Artemisia parviflora"
"2768885";"Asparagus officinalis"
"2916597";"Asperula"
"3192674";"Asterionella"
"3122426";"Atractylodes "
"2705282";"Avena"
"2705290";"Avena sativa"
"2891641";"Averrhoa carambola"
"6699";"Balsaminaceae"
"3033893";"Berberis"
"3034699";"Berula erecta"
"8971274";"Beta vulgaris"
"2927280";"Betonica officinalis"
"3105856";"Bidens"
"2952882";"Bituminaria bituminosa"
"2703642";"Bromus"
"2703670";"Bromus inermis"
"2703746";"Bromus tectorum"
"2874497";"Bryonia alba"
"35";"Bryophyta"
"9418333";"Buddleja"
"2984666";"Buxus"
"3988113";"Buxus balearica"
"2960383";"Cajanus cajan"
"3335";"Calliphoridae"
"3092946";"Callistephus chinensis"
"3189635";"Camellia sinensis"
"5361880";"Cannabis sativa"
"2932937";"Capsicum "
"2932944";"Capsicum annuum"
"2721893";"Carex"
"2874484";"Carica papaya"
"3034714";"Carum carvi"
"4205617";"Carya illinoensis"
"2963414";"Cassia occidentalis"
"3170590";"Castilleja arachnoidea"
"3169830";"Catharanthus roseus"
"8087525";"Centaurea scabiosa"
"3128888";"Centaurea solstitialis"
"3085450";"Cerastium alpinum"
"3085433";"Cerastium arvense"
"6364299";"Cerastium cerastoides"
"2873815";"Cerastium viscosum"
"2873815";"Cerastium vulgatum"
"6027328";"Chaerophyllum hirsutum"
"6719";"Chenopodiaceae"
"3083838";"Chenopodium album"
"8594539";"Chlorarachnea"
"3087725";"Chromolaena odorata"
"3150746";"Chrysanthemum "
"3118288";"Chrysanthemum cinerariifolium"
"3150814";"Chrysanthemum indicum"
"3134162";"Chrysanthemum maximum"
"5392252";"Cichorium intybus"
"3113650";"Cirsium oleraceum"
"2874621";"Citrullus lanatus"
"3190155";"Citrus "
"3190171";"Citrus limon"
"3190158";"Citrus sinensis"
"3033512";"Clematis"
"5373276";"Cochlearia officinalis"
"3034807";"Conium maculatum"
"2928390";"Convolvulus arvensis"
"3679194";"Convolvulus fruticosus"
"3678635";"Convolvulus hamadae"
"3033632";"Coptis trifolia"
"2875967";"Corylus "
"3098951";"Cosmos sulphureus"
"5403296";"Crepis paludosa"
"2942877";"Crotalaria juncea"
"2874568";"Cucumis"
"2874570";"Cucumis melo"
"2874569";"Cucumis sativus"
"7393329";"Cucurbita moschata"
"2874508";"Cucurbita pepo"
"6109637";"Cynodon dactylon"
"3093023";"Dahlia"
"5387142";"Dahlia pinnata"
"3034742";"Daucus carota"
"R1";"Resource::Decaying_wood"
"3033687";"Delphinium"
"3085411";"Dianthus"
"3085413";"Dianthus armeria"
"3085420";"Dianthus caryophyllus"
"5414992";"Digitalis grandiflora"
"3030169";"Diospyros"
"3101184";"Dittrichia viscosa"
"8436786";"Dolichos lablab"
"4889932";"Dryas octopetala"
"3850472";"Dysoxylum decandrum"
"2731882";"Elaeis guineensis"
"2759871";"Elettaria cardamomum"
"2706649";"Elytrigia repens"
"3565";"Enchtraeidae"
"4920651";"Endomyxa"
"2961150";"Enterolobium cyclocarpum"
"3169120";"Euonymus alatus"
"3070106";"Euphorbia cyparissias"
"3066465";"Euphorbia pulcherrima"
"4691";"Euphorbiaceae"
"3034682";"Ferula"
"2704913";"Festuca arundinacea"
"2704913";"Festuca elatior"
"2704913";"Festuca myuros"
"4119612";"Festuca nigrescens"
"5361909";"Ficus carica"
"3034921";"Foeniculum"
"3029779";"Fragaria"
"3029912";"Fragaria ananassa"
"3172358";"Fraxinus excelsior"
"2747044";"Freesia "
"2282796";"Funaria hygrometrica"
"3132570";"Galinsoga parviflora"
"9039392";"Galium mollugo"
"2913321";"Galium physocarpum"
"2913556";"Galium uliginosum"
"7466389";"Gerbera"
"8409932";"Gerbera jamesonii"
"5359660";"Glycine max"
"3152652";"Gossypium "
"9760148";"Granofilosea"
"3085251";"Gypsophila"
"3760350";"Halocnemum strobilaceum"
"3232972";"Haplophyllum"
"8351737";"Hedera helix"
"3631293";"Helosciadium nodiflorum"
"8181004";"Heracleum austriacum"
"3034830";"Heracleum sphondylium"
"2706050";"Hordeum"
"2706052";"Hordeum jubatum"
"2706056";"Hordeum vulgare"
"2984535";"Humulus lupulus"
"2928979";"Hyoscyamus albus"
"5414239";"Ilex crenata"
"2891766";"Impatiens "
"2928551";"Ipomoea batatas"
"2928538";"Ipomoea hederacea"
"3072953";"Jatropha curcas"
"3109185";"Jurinea"
"3140231";"Lactuca"
"7403263";"Lactuca sativa"
"5356393";"Lathyrus linifolius"
"3137422";"Leontodon"
"R2";"Resource::Light"
"7699";"Liliaceae"
"2706217";"Lolium"
"2706241";"Lolium perenne"
"2932923";"Lycopersicon"
"9608998";"Lycopersicon esculentum"
"3001244";"Malus domestica"
"3001509";"Malus sylvestris"
"3060998";"Manihot esculenta"
"3061039";"Manihot utilissima"
"3905670";"Marrubium velutinum"
"7639949";"Matricaria"
"2965200";"Medicago"
"2965221";"Medicago laciniata"
"9151957";"Medicago sativa"
"2971053";"Melilotus alba"
"2927173";"Mentha "
"2927173";"Mentha ×piperita"
"3084836";"Mesembryanthemum "
"7";"Metromonadea"
"8190743";"Murraya paniculata"
"5564";"Muscidae"
"7318319";"Mutellina adonidifolia"
"3629113";"Mutellina purpurea"
"3169755";"Nerium"
"7317019";"Nerium indicum"
"2928756";"Nicotiana"
"2928774";"Nicotiana tabacum"
"2927101";"Ocimum sanctum"
"6027319";"Oenanthe crocata"
"2972595";"Onobrychis viciifolia"
"7689";"Orchidaceae "
"2703455";"Oryza"
"4110287";"Oryza australiensis"
"2703459";"Oryza sativa"
"2705144";"Panicum dichotomiflorum"
"4122172";"Panicum tennesseense"
"2705081";"Panicum virgatum"
"2888437";"Papaver orientale"
"8100050";"Paspalum vaginatum"
"9348640";"Pelargonium "
"2706150";"Pennisetum clandestinum"
"3034906";"Petroselinum"
"5289756";"Phalaris arundinacea"
"2928623";"Pharbitis hederacea"
"2947798";"Phaseolus "
"5350438";"Phaseolus lunatus"
"5350452";"Phaseolus vulgaris"
"2706001";"Phleum"
"6109699";"Phoenix dactylifera"
"7606064";"Picea excelsa"
"5284802";"Picea mariana"
"5285604";"Pinus halepensis"
"5285824";"Pinus kesiya"
"5347845";"Pisum sativum"
"3189695";"Plantago"
"2704173";"Poa"
"2704179";"Poa annua"
"2704178";"Poa pratensis"
"8300875";"Poa trivialis"
"2683092";"Polytrichum juniperinum"
"6674";"Primulaceae"
"3020559";"Prunus"
"3020791";"Prunus avium"
"3021922";"Prunus cerasus"
"7931731";"Prunus domestica"
"3022502";"Prunus dulcis"
"8149923";"Prunus persica"
"3021120";"Prunus salicina"
"2737019";"Pseudophoenix sargentii"
"2685796";"Pseudotsuga menziesii"
"2977636";"Pueraria montana"
"5362573";"Pyrus communis"
"2410";"Ranunculacae"
"2883026";"Rhododendron "
"2986192";"Ribes nigrum"
"2986097";"Ribes rubrum"
"5380041";"Ricinus communis"
"8395064";"Rosa"
"8395064";"Rosa "
"3005039";"Rosa chinensis"
"3003244";"Rosa multiflora"
"5015";"Rosaceae"
"2993094";"Rubus idaeus"
"2990630";"Rubus loganobaccus"
"8195144";"Rumex crispus"
"8249932";"Salvia splendens"
"3737217";"Scrophularia leucoclada"
"3170886";"Scrophularia nodosa"
"5608571";"Scutellaria peregrina"
"2705966";"Secale cereale"
"2874612";"Sechium edule"
"3172622";"Sesamum indicum"
"5289698";"Setaria italica"
"5289693";"Setaria pumila"
"3640348";"Sium erectum"
"R3";"Resource:SOM"
"2930137";"Solanum lycopersicum"
"2930617";"Solanum melongena"
"2930262";"Solanum tuberosum"
"8228544";"Sonchus oleraceus"
"4108497";"Sorghum arundinaceum"
"2705181";"Sorghum bicolor"
"4105531";"Sorghum verticilliflorum"
"2927229";"Stachys arvensis"
"2927245";"Stachys palustris"
"2925448";"Stachytarpheta dichotoma"
"2925463";"Stachytarpheta jamaicensis"
NA;"Streptophytina"
"3216715";"Synechococcus"
"3088488";"Tagetes erecta"
"5394163";"Taraxacum officinale"
"3189394";"Terminalia catappa"
"2684168";"Thuja"
"3152047";"Tilia cordata"
"3632589";"Torilis neglecta"
"2973363";"Trifolium aestivum"
"5359378";"Trifolium incarnatum"
"8324121";"Trifolium pratense"
"5358748";"Trifolium repens"
"5359330";"Trifolium subterraneum"
"5359334";"Trifolium vesiculosum"
"2706388";"Triticum"
"7795888";"Triticum aestivum"
"2706402";"Triticum spelta"
"543";"Trombidiformes"
"2984391";"Urtica"
"7960979";"Urtica dioica"
"2925470";"Verbena"
"2705233";"Vetiveria zizanioides"
"2974751";"Vicia"
"2974832";"Vicia faba"
"2975014";"Vicia sativa"
"2982380";"Vigna radiata"
"2982583";"Vigna unguiculata"
"5331181";"Viola odorata"
"6631";"Violaceae"
"5372392";"Vitis vinifera"
"2928840";"Withania somnifera"
"2868827";"Zantedeschia aethiopica"
"4";"Archaea"
"4";"Chromista"
"7";"Protozoa"
