"";"labels"
"Absidia glauca";1
"Achaeta affinis";1
"Achaeta bifollicula";1
"Achaeta cf. bohemica PDW-2010";1
"Achaeta unibulba";1
"Achillea millefolium";1
"Acidobacterium sp. pan6";3
"Acrobeles sp.";2
"Acrospermum gramineum";1
"Actinochloris sp. BCP-LG3VF20";1
"Actinocrinis puniceicyclus";3
"Actinomadura sp. 1g12710";3
"Actinoplanes sp. IR51-RC111";3
"Acyrthosiphon pisum";1
"Adineta vaga";2
"Aeromicrobium panaciterrae";3
"Aeromicrobium sp. HJX17";3
"Aeromicrobium sp. RODSPM17";3
"Aggregicoccus edonensis";3
"Agriotes sordidus";1
"Allolobophora chlorotica";1
"Altererythrobacter buctense";3
"Altererythrobacter sp. 100921-2";3
"Ambispora fennica";1
"Ambispora gerdemannii";1
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";2
"Amphileptus sp. ZY-2014b";1
"Amphimallon solstitiale";1
"Amplimerlinius icarus";1
"Amycolatopsis tolypomycina";3
"Anatonchus tridentatus";1
"Angustibacter luteus";3
"Anoplophrya marylandensis";1
"Anteholosticha gracilis";1
"Anteholosticha monilata";1
"Anteholosticha rectangula";1
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";1
"Aphodius johnsoni";1
"Apiotrichum porosum";1
"Aporcelaimellus sp. 2010_050";1
"Aporrectodea caliginosa";1
"Aporrectodea longa";1
"Aporrectodea rosea";1
"Apusomonas proboscidea";2
"Aquihabitans daechungensis";3
"Archaeorhizomyces borealis";1
"Archaeorhizomyces finlayi";1
"Archaeospora sp. PODO7.3";1
"Archaeospora trappei";1
"Arcuospathidium namibiense";1
"Arenimonas daechungensis";3
"Arenimonas sp. HMF3017";3
"Articulospora proliferata";1
"Ascobolus stercorarius";1
"Asterostroma andinum";1
"Aulacorthum solani";1
"Azospirillum sp. T2-YC6788";3
"Bacteriovorax sp. PNEc1";3
"Bardeliella pulchra";2
"Barynotus moerens";1
"Barynotus obscurus";1
"Bastiania gracilis";2
"Bdellovibrio exovorus";3
"Bicosoeca petiolata";2
"Bisporella citrina";1
"Blaberolaelaps sp. APGD-2010";1
"Blastococcus sp. URHB0062";3
"Blastococcus sp. URHD0003";3
"Blepharisma hyalinum";2
"Bodomorpha sp. HFCC56";2
"Bodomorpha sp. HFCC57";2
"Bolbitius vitellinus";1
"Boleodorus volutus";1
"Bos taurus";1
"Botryochloris sp. SiM-2003";1
"Boudiera acanthospora";1
"Brachyphoris oviparasitica";1
"Bradyrhizobium sp. Shinshu-th2";3
"Bradyrhizobium sp. URHC0015";3
"Bradysia subrufescens";1
"Bresslaua vorax";1
"Bresslauides discoideus";2
"Bryometopus pseudochilodon";1
"Bryometopus sphagni";1
"Buchholzia fallax";1
"Burkholderia cepacia";3
"Caenimonas sp. TSX9-5";3
"Calluna vulgaris";1
"Campanella subdendrophora";1
"Campodea fragilis";1
"Canavalia ensiformis";1
"Candidatus Koribacter versatilis";3
"Candidatus Nitrososphaera gargensis";1
"Candidatus Solibacter usitatus";3
"Capsellina sp. ATCC 50039";1
"Catellatospora sp. KC-EP-S6";3
"Catenulispora graminis";3
"Caudiholosticha sp. Zlv-2015";1
"Caudiholosticha sylvatica";1
"Caulerpa cupressoides";1
"Caulobacter fusiformis";3
"Caulobacter profundus";3
"Cenarchaeum symbiosum";1
"Cephalobus persegnis";2
"Cerastium arcticum";1
"Ceratophysella sp. FZ-2014";1
"Cercomonas alexieffi";2
"Cercomonas braziliensis";2
"Cercomonas celer";2
"Cercomonas fastiga";2
"Cercomonas media";2
"Cercomonas parambigua";2
"Cercomonas parincurva";2
"Cercomonas radiata";2
"Cercomonas rapida";2
"Cercomonas sp. ATCC 50367";2
"Cercomonas sp. HFCC 905";2
"Cercomonas vacuolata";2
"Cetraspora nodosa";1
"Chaetosphaeria ciliata";1
"Chamaedrilus aff. glandulosus A SM-2014";1
"Chamaedrilus aff. sphagnetorum C SM-2014";1
"Cheilymenia stercorea";1
"Chitinophaga oryziterrae";3
"Chitinophaga pinensis";3
"Chitinophaga sp. BN130233";3
"Chlamydomonas philotes";1
"Chlamydomonas reinhardtii";1
"Chlamydomyxa labyrinthuloides";2
"Chlorella emersonii";1
"Chlorellidium tetrabotrys";1
"Choleva angustata";1
"Chthoniobacter flavus";3
"Chthonius sp. 2 JM-2008";1
"Chytridium polysiphoniae";1
"Cladosporium sp. CB-20";1
"Claroideoglomus claroideum";1
"Coelastrella saipanensis";1
"Colpoda inflata";2
"Colpoda sp. MD-2011";2
"Colpoda sp. PRA-118";2
"Conopodium majus";1
"Cordyceps cylindrica";1
"Cordyceps memorabilis";1
"Corythion dubium";2
"Craterocolla cerasi";1
"Cryphonectria parasitica";1
"Cryptococcus amylolentus";1
"Cultellothrix coemeterii";1
"Cultellothrix lionotiformis";1
"Cylindroiulus caeruleocinctus";1
"Cyphellophora sessilis";1
"Cytophaga hutchinsonii";3
"Dactylis glomerata";1
"Dechlorospirillum sp. SN1";3
"Demequina sp. CMS382";3
"Devosia sp. P-37";3
"Diaphanoeca spiralifurca";2
"Diaphorobacter sp. NPG-14";3
"Dileptus microstoma";1
"Dileptus sp.";1
"Dioszegia crocea";1
"Diplogasteroides magnus";1
"Discolaimus cf. major HHBM-2007a";2
"Dissophora decumbens";1
"Ditylenchus dipsaci";1
"Diversispora varaderana";1
"Dokdonella ginsengisoli";3
"Dongia sp. CB 286422";3
"Duganella sp. 2M1lan";3
"Duganella sp. JPPB B33";3
"Echinamoeba exundans";2
"Edaphobacter dinghuensis";3
"Emticicia sp. KJ033";3
"Enchytraeus albidus";1
"Enchytraeus buchholzi";1
"Enchytraeus bulbosus";1
"Enchytraeus christenseni";1
"Enchytraeus lacteus";1
"Enchytraeus norvegicus";1
"Enchytronia parva";1
"Endochytrium sp. JEL 324";1
"Endogone lactiflua";1
"Endogone sp. OSC T14506";1
"Endogone sp. W5994";1
"Entomobrya multifasciata";1
"Entomobrya sp. 9644 FZ-2013";1
"Eocercomonas sp. HFCC 908";2
"Eocercomonas sp. HFCC 909";2
"Eosentomon sp. FNSA-2002";1
"Epipyxis pulchra";2
"Epispathidium sp. RV-2015";1
"Epispathidium terricola";1
"Eucephalobus striatus";2
"Euglypha rotunda";2
"Euglypha tuberculata";2
"Euplotes balteatus";1
"Euplotes qatarensis";1
"Euplotes trisulcatus";1
"Fallopia multiflora";1
"Ferruginibacter paludis";3
"Ferruginibacter sp. WF24";3
"Fibrella sp.";3
"Filobasidium stepposum";1
"Flavisolibacter rigui";3
"Flavobacterium hydatis";3
"Flavobacterium sp. BF134";3
"Flavobacterium sp. HL-17";3
"Flavobacterium sp. PDD-32b-56";3
"Flavobacterium sp. R-38392";3
"Flavosolibacter sp. HU1-JC5";3
"Fluviicola sp. YS 1.2.4";3
"Folsomia candida";1
"Folsomia quadrioculata";1
"Forficula auricularia";1
"Forficula sp. NC-1995";1
"Fridericia bisetosa";1
"Fridericia christeri";1
"Fridericia connata";1
"Fridericia galba";1
"Fridericia isseli";1
"Fridericia magna";1
"Fridericia paroniana";1
"Fridericia ratzeli";1
"Fridericia sohlenii";1
"Fridericia sylvatica";1
"Fridericia tuberosa";1
"Friesea grisea";1
"Frigoribacterium sp. B1-25c-3";3
"Funneliformis mosseae";1
"Fuscheria sp. VBOEF-2011";1
"Gaeumannomyces graminis";1
"Gaiella occulta";3
"Geastrum saccatum";1
"Gemmata obscuriglobus";3
"Gemmata sp. Fl1-1";3
"Geobacter anodireducens";3
"Geobacter sp. enrichment culture clone VanCtr1";3
"Geodermatophilus sp. Z2R53";3
"Georgfuchsia toluolica";3
"Gliricola sp. 274";1
"Glomus invermaium";1
"Glomus sp. 9 SUN-2011";1
"Gongronella butleri";1
"Gonostomum namibiense";1
"Gonostomum sp. JS-2012";1
"Gonostomum strenuum";1
"Granulicella paludicola";3
"Guepiniopsis buccina";1
"Halteromyces radiatus";1
"Hantzschia amphioxys";1
"Helianthus annuus";1
"Helicotylenchus varicaudatus";1
"Hemiamphisiella terricola";1
"Henlea perpusilla";1
"Hesperelaea palmeri";1
"Heterococcus caespitosus";1
"Heterophrys sp. Oxford1";2
"Hibberdia magna";1
"Histiostoma feroniarum";1
"Hodophilus hymenocephalus";1
"Holophaga sp. oral clone CA002";3
"Holwaya mucida";1
"Homalogastra setosa";2
"Humibacter sp. Po15c";3
"Hyalorbilia sp. HOB-2016a";1
"Hygrocybe reidii";1
"Hymenochaetopsis olivacea";1
"Hymenoscyphus repandus";1
"Hyphochytrium catenoides";1
"Hyphodiscus hymeniophilus";1
"Hyphodontia rimosissima";1
"Iodophanus carneus";1
"Isolaimium multistriatum";2
"Isotoma viridis";1
"Isotomiella minor";1
"Itersonilia pannonica";1
"Itersonilia perplexans";1
"Ixiolirion tataricum";1
"Jaagiella alpicola";1
"Kribbella sp. enrichment culture clone VanCtr42";3
"Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01";3
"Kuzuhaea moniliformis";1
"Lacrymaria marina";2
"Lamproderma sp. SAPA:100012";2
"Legionella lytica";3
"Leifsonia sp. A5AGK";3
"Lepidocyrtus paradoxus";1
"Lepidocyrtus sp. 1 FZ-2013";1
"Leptomyxa reticulata";2
"Leptomyxa sp. AS-2016b";2
"Leptopharynx bromelicola";2
"Leptosphaeria biglobosa";1
"Limonomyces roseipellis";1
"Liochthonius sp. AD1300";1
"Lithobius forficatus";1
"Lithobius variegatus";1
"Lonchoptera lutea";1
"Longidorus raskii";1
"Longidorus vinearum";1
"Luedemannella sp. 119-1-07";3
"Lumbricus castaneus";1
"Lumbricus centralis";1
"Lumbricus friendi";1
"Lumbricus terrestris";1
"Luteimonas aestuarii";3
"Luticola permuticopsis";1
"Lysobacter sp. MS6Y-8-7";3
"Lysobacter sp. RHLT3-4";3
"Lysobacter sp. YS-37";3
"Marionina cf. minutissima PDW-2010";1
"Marionina clavata";1
"Marionina communis";1
"Marionina filiformis";1
"Marionina sublitoralis";1
"Martelella endophytica";3
"Maryna ovata";2
"Massisteria marina";2
"Mayamaea sp. KAS1111";1
"Megalothorax sp. EA040003-cs17";1
"Megalothorax sp. EA040004-cs23";1
"Megalothorax sp. EA040008-cs9";1
"Melastiza contorta";1
"Meloidogyne naasi";1
"Merlinius brevidens";1
"Merlinius cf. microdorus TSH-2005";1
"Merlinius joctus";1
"Meseres corlissi";2
"Mesodorylaimus cf. nigritulus AV-2005";2
"Mesorhabditis sp. 334Meso1";2
"Metarhizium anisopliae";1
"Methanomassiliicoccus sp. 138";1
"Methanomassiliicoccus sp. 142";1
"Methanomassiliicoccus sp. P27";1
"Methylosinus sporium";3
"Methylosinus trichosporium";3
"Mischococcus sphaerocephalus";1
"Monilicaryon monilatum";1
"Monocystis agilis";1
"Monosiga ovata";2
"Moraxella osloensis";3
"Mortierella sp. MS-6";1
"Mucilaginibacter sp. HME7565";3
"Mucilaginibacter sp. UA-VH0703";3
"Multiclavula mucida";1
"Mycobacterium sp. PSY065";3
"Mycoplana sp. HP12Q";3
"Mykophagophrys terricola";1
"Myrmica scabrinodis";1
"Myzus persicae";1
"Nakamurella sp. A24MTO";3
"Nannochloris sp. JL 4-6";1
"Neobodo designis";2
"Neopsilenchus magnidens";1
"Nitrospira marina";3
"Nitzschia pusilla";1
"Nocardioides sp.";3
"Nocardioides sp. MSL 24";3
"Nocardioides sp. RW28";3
"Nocardioides sp. SSRB28-7";3
"Noctua pronuba";1
"Notholca acuminata";2
"Notiophilus rufipes";1
"Novosphingobium sp.";3
"Nygolaimus cf. brachyuris JH-2004";1
"Obertrumia georgiana";2
"Occallatibacter riparius";3
"Ochrobactrum anthropi";3
"Ochromonas sp. CCMP2761";2
"Ochromonas vasocystis";2
"Octolasion cyaneum";1
"Oikomonas sp. SA-2.1";1
"Oligoflexus tunisiensis";3
"Olpidium bornovanus";1
"Olpidium brassicae";1
"Orbicula parietina";1
"Orbilia sp. HOB-2016am";1
"Orchesella villosa";1
"Orciraptor agilis";1
"Oricola cellulosilytica";3
"Otiorhynchus armadillo";1
"Palaeospora spainiae";1
"Palmellopsis sp. BCP-EM1VF1";1
"Panacibacter ginsenosidivorans";3
"Panagrolaimus sp. PS443";2
"Panorbis viscosus";1
"Paracercomonas astra";2
"Paracercomonas compacta";2
"Paracercomonas filosa";2
"Paracercomonas paralaciniaegerens";2
"Paracercomonas sp. HFCC 913";2
"Paracercomonas sp. HFCC 918";2
"Parafilimonas terrae";3
"Paraglomus brasilianum";1
"Paraphysomonas sp. 22 JMS-2012";2
"Paratylenchus cf. neoamblicephalus";1
"Paratylenchus microdorus";1
"Paratylenchus similis";1
"Paucimonas lemoignei";3
"Pedobacter luteus";3
"Pedobacter sp. FGR-05";3
"Pedosphaera parvula";3
"Pelomonas sp. CR2";3
"Pelomonas sp. K89";3
"Penicillium sp. D01";1
"Penicillium sp. SDI-2014f";1
"Peniophorella praetermissa";1
"Pentapharsodinium tyrrhenicum";1
"Peregrinia clavideferens";2
"Peyerimhoffia alpina";1
"Phacelia tanacetifolia";1
"Phenylobacterium lituiforme";3
"Phenylobacterium sp. B6.10-61";3
"Phenylobacterium sp. enrichment culture clone LplF-80";3
"Phenylobacterium sp. URHA0004";3
"Phialina salinarum";1
"Pholiota squarrosa";1
"Phoma herbarum";1
"Phycisphaera mikurensis";3
"Picea abies";1
"Pilogalumna rosauraruizae";1
"Piptocephalis graefenhanii";1
"Pirellula sp.";3
"Pirellula staleyi";3
"Planctomyces sp.";3
"Platyophrya bromelicola";2
"Platyophrya vorax";2
"Platyreta germanica";1
"Plectus aquatilis";2
"Pleurochloris meiringensis";1
"Pluteus petasatus";1
"Pluteus phlebophorus";1
"Podura aquatica";1
"Polydesmus coriaceus";1
"Polymyxa graminis";1
"Pontibacter sp. LX8";3
"Porpoloma sp. 2 MSG-2014";1
"Poterioochromonas malhamensis";2
"Poterioochromonas stipitata";2
"Pratylenchoides ritteri";1
"Prismatolaimus cf. dolichurus JH-2004";2
"Proceropycnis pinicola";1
"Prodesmodora circulata";2
"Prodorylaimus sp. HHBM-2007a";2
"Protaphorura armata";1
"Protaspis obliqua";2
"Protocyclidium sinica";2
"Protoribates hakonensis";1
"Psathyrella sp. D16";1
"Pseudo-nitzschia heimii";1
"Pseudochilodonopsis sp. 3 WS-2013";1
"Pseudocyrtolophosis alpestris";2
"Pseudoplatynematum denticulatum";2
"Pseudoplatyophrya nana";1
"Pseudopleurochloris antarctica";1
"Pseudouroleptus sp. ALT-2014";1
"Pseudovorticella punctata";2
"Pseudovorticella sp. 5 PS-2016";2
"Pterula echo";1
"Pungentus sp. PDL-2005";2
"Pyrenochaeta sp. GMG_PPb7";1
"Pythium monospermum";1
"Pythium rostratifingens";1
"Pyxidiophora arvernensis";1
"Ralstonia solanacearum";3
"Ralstonia sp. JOS55-1";3
"Ramariopsis kunzei";1
"Resource::Decaying_wood";1
"Resource::Dung";1
"Resource::Litter";1
"Resource::MOS";1
"Rhizoctonia solani";1
"Rhizomicrobium sp. URHE0053";3
"Rhizophagus intraradices";1
"Rhizophlyctis harderi";1
"Rhizophlyctis rosea";1
"Rhizophydium patellarium";1
"Rhizophydium planktonicum";1
"Rhizophydium sp. JEL136";1
"Rhizophydium sp. UGA-F16";1
"Rhodanobacter sp. D47";3
"Rhodopila globiformis";3
"Rhodoplanes sp. Z2-YC6860";3
"Rhogostoma schuessleri";2
"Rhogostoma sp. CCAP 1966/4";2
"Rhopalosiphum padi";1
"Robertus neglectus";1
"Romanomermis sichuanensis";1
"Roseiarcus fermentans";3
"Rotylenchulus borealis";1
"Rotylenchulus reniformis";1
"Rotylenchus vitis";1
"Rudaea cellulosilytica";3
"Rudaea sp. URHD0100";3
"Saccharomyces cerevisiae";1
"Saccobolus dilutellus";1
"Salinibacterium sp. CC13L1";3
"Salvia nemorosa";1
"Satchellius mammalis";1
"Sclerostagonospora sp. CBS 118142";1
"Scutellospora alterata";1
"Sediminibacterium aquarii";3
"Seinura demani";1
"Seira barnardi";1
"Serpula incrassata";1
"Siluania monomastiga";2
"Sinapis alba";1
"Singulisphaera rosea";3
"Sitona lineatus";1
"Sminthurides aquaticus";1
"Sminthurinus bimaculatus";1
"Sminthurus viridis";1
"Sorangium cellulosum";3
"Spathidium simplinucleatum";1
"Sphaerobolus stellatus";1
"Sphaeroeca volvox";2
"Sphingobacterium sp. P-7";3
"Sphingobium olei";3
"Sphingomonas changbaiensis";3
"Sphingomonas fennica";3
"Sphingomonas sp. 52NP12";3
"Sphingomonas sp. C0503";3
"Sphingomonas sp. DB-II-12";3
"Sphingomonas sp. LP105";3
"Sphingomonas sp. ML1";3
"Sphingomonas sp. NCCP-1295";3
"Sphingomonas sp. THG-DN7.10";3
"Sphingosinicella sp. YJ22";3
"Spizellomyces punctatus";1
"Spumella lacusvadosi";2
"Spumella sp. 37G";2
"Spumella sp. CH3";2
"Spumella sp. SpiG";2
"Spumella vulgaris";2
"Stephensia shanorii";1
"Stereum ostrea";1
"Stigmalychus sp. AD1318";1
"Stilbocrea macrostoma";1
"Streptacidiphilus alcalitolerans";3
"Streptomyces abietis";3
"Streptomyces sp. PanSC6";3
"Syncephalis depressa";1
"Syncephalis fuscata";1
"Tachyporus hypnorum";1
"Tachysoma pellionellum";2
"Taraxacum kok-saghyz";1
"Tepidisphaera mucosa";3
"Teratocephalus terrestris";2
"Terracidiphilus gabretensis";3
"Terrimonas arctica";3
"Terrimonas sp. URHE0054";3
"Tetracanthella sp. YB-2012";1
"Tetranychus urticae";1
"Tetrodontophora bielanensis";1
"Thecotheus holmskjoldii";1
"Tipula abdominalis";1
"Tipula cockerelliana";1
"Trechispora farinacea";1
"Trechus obtusus";1
"Trechus quadristriatus";1
"Trichocerca rattus";2
"Trinema enchelys";2
"Trinema lineare";2
"Tubeufia helicomyces";1
"Tullbergia yosii";1
"Tylencholaimus sp. PDL-2005";1
"Tylenchus arcuatus";1
"uncultured Acidimicrobium sp.";3
"uncultured Acidisphaera sp.";3
"uncultured Aciditerrimonas sp.";3
"uncultured Acidobacterium sp.";3
"uncultured Acidobacterium UA3";3
"uncultured Acidothermus sp.";3
"uncultured Acidovorax sp.";3
"uncultured Actinoallomurus sp.";3
"uncultured Actinocatenispora sp.";3
"uncultured Actinomyces sp.";3
"uncultured Actinoplanes sp.";3
"uncultured Adhaeribacter sp.";3
"uncultured Altererythrobacter sp.";3
"uncultured Aminobacter sp.";3
"uncultured Anaeromyxobacter sp.";3
"uncultured Arenimonas sp.";3
"uncultured Bacillus sp.";3
"uncultured Bacteroides sp.";3
"uncultured Bdellovibrio sp.";3
"uncultured Bellilinea sp.";3
"uncultured Blastochloris sp.";3
"uncultured Bradyrhizobium sp.";3
"uncultured Burkholderia sp.";3
"uncultured Byssovorax sp.";3
"uncultured Caldilinea sp.";3
"uncultured Candidatus Koribacter sp.";3
"uncultured Candidatus Microthrix sp.";3
"uncultured Candidatus Nephrothrix sp.";3
"uncultured Candidatus Nitrosopumilus sp.";1
"uncultured Candidatus Solibacter sp.";3
"uncultured Caulobacter sp.";3
"uncultured Chitinophaga sp.";3
"uncultured Chloroflexus sp.";3
"uncultured Chondromyces sp.";3
"uncultured Comamonas sp.";3
"uncultured Conexibacter sp.";3
"uncultured Crocinitomix sp.";3
"uncultured Cupriavidus sp.";3
"uncultured Curvibacter sp.";3
"uncultured Cystobacter sp.";3
"uncultured Cytophaga sp.";3
"uncultured Dactylosporangium sp.";3
"uncultured Dehalococcoides sp.";3
"uncultured Demequina sp.";3
"uncultured Denitratisoma sp.";3
"uncultured Derxia sp.";3
