"";"labels"
"Absidia glauca";2
"Achaeta affinis";7
"Achaeta bifollicula";7
"Achaeta cf. bohemica PDW-2010";7
"Achaeta unibulba";7
"Achillea millefolium";11
"Acidobacterium sp. pan6";14
"Acrobeles sp.";13
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";19
"Actinocrinis puniceicyclus";21
"Actinomadura sp. 1g12710";21
"Actinoplanes sp. IR51-RC111";21
"Acyrthosiphon pisum";10
"Adineta vaga";15
"Aeromicrobium panaciterrae";21
"Aeromicrobium sp. HJX17";21
"Aeromicrobium sp. RODSPM17";21
"Aggregicoccus edonensis";21
"Agriotes sordidus";10
"Allolobophora chlorotica";20
"Altererythrobacter buctense";21
"Altererythrobacter sp. 100921-2";21
"Ambispora fennica";20
"Ambispora gerdemannii";20
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";13
"Amphileptus sp. ZY-2014b";23
"Amphimallon solstitiale";10
"Amplimerlinius icarus";12
"Amycolatopsis tolypomycina";21
"Anatonchus tridentatus";24
"Angustibacter luteus";21
"Anoplophrya marylandensis";6
"Anteholosticha gracilis";25
"Anteholosticha monilata";25
"Anteholosticha rectangula";25
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";10
"Aphodius johnsoni";10
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";24
"Aporrectodea caliginosa";20
"Aporrectodea longa";20
"Aporrectodea rosea";20
"Apusomonas proboscidea";16
"Aquihabitans daechungensis";21
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";20
"Archaeospora trappei";20
"Arcuospathidium namibiense";23
"Arenimonas daechungensis";21
"Arenimonas sp. HMF3017";21
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";10
"Azospirillum sp. T2-YC6788";21
"Bacteriovorax sp. PNEc1";21
"Bardeliella pulchra";16
"Barynotus moerens";10
"Barynotus obscurus";10
"Bastiania gracilis";13
"Bdellovibrio exovorus";21
"Bicosoeca petiolata";15
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";8
"Blastococcus sp. URHB0062";21
"Blastococcus sp. URHD0003";21
"Blepharisma hyalinum";15
"Bodomorpha sp. HFCC56";16
"Bodomorpha sp. HFCC57";16
"Bolbitius vitellinus";2
"Boleodorus volutus";12
"Bos taurus";12
"Botryochloris sp. SiM-2003";19
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";21
"Bradyrhizobium sp. URHC0015";21
"Bradysia subrufescens";10
"Bresslaua vorax";25
"Bresslauides discoideus";16
"Bryometopus pseudochilodon";25
"Bryometopus sphagni";25
"Buchholzia fallax";7
"Burkholderia cepacia";21
"Caenimonas sp. TSX9-5";21
"Calluna vulgaris";11
"Campanella subdendrophora";2
"Campodea fragilis";10
"Canavalia ensiformis";11
"Candidatus Koribacter versatilis";14
"Candidatus Nitrososphaera gargensis";26
"Candidatus Solibacter usitatus";14
"Capsellina sp. ATCC 50039";27
"Catellatospora sp. KC-EP-S6";21
"Catenulispora graminis";21
