"";"labels"
"Absidia glauca";2
"Achaeta affinis";8
"Achaeta bifollicula";8
"Achaeta cf. bohemica PDW-2010";8
"Achaeta unibulba";8
"Achillea millefolium";12
"Acidobacterium sp. pan6";17
"Acrobeles sp.";16
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";22
"Actinocrinis puniceicyclus";24
"Actinomadura sp. 1g12710";24
"Actinoplanes sp. IR51-RC111";24
"Acyrthosiphon pisum";14
"Adineta vaga";18
"Aeromicrobium panaciterrae";24
"Aeromicrobium sp. HJX17";24
"Aeromicrobium sp. RODSPM17";24
"Aggregicoccus edonensis";24
"Agriotes sordidus";11
"Allolobophora chlorotica";29
"Altererythrobacter buctense";24
"Altererythrobacter sp. 100921-2";24
"Ambispora fennica";26
"Ambispora gerdemannii";26
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";16
"Amphileptus sp. ZY-2014b";27
"Amphimallon solstitiale";14
"Amplimerlinius icarus";13
"Amycolatopsis tolypomycina";24
"Anatonchus tridentatus";28
"Angustibacter luteus";24
"Anoplophrya marylandensis";7
"Anteholosticha gracilis";30
"Anteholosticha monilata";30
"Anteholosticha rectangula";30
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";14
"Aphodius johnsoni";14
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";28
"Aporrectodea caliginosa";29
"Aporrectodea longa";29
"Aporrectodea rosea";29
"Apusomonas proboscidea";19
"Aquihabitans daechungensis";24
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";26
"Archaeospora trappei";26
"Arcuospathidium namibiense";27
"Arenimonas daechungensis";24
"Arenimonas sp. HMF3017";24
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";14
"Azospirillum sp. T2-YC6788";24
"Bacteriovorax sp. PNEc1";24
"Bardeliella pulchra";19
"Barynotus moerens";14
"Barynotus obscurus";14
"Bastiania gracilis";16
"Bdellovibrio exovorus";24
"Bicosoeca petiolata";18
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";9
"Blastococcus sp. URHB0062";24
"Blastococcus sp. URHD0003";24
"Blepharisma hyalinum";18
"Bodomorpha sp. HFCC56";19
"Bodomorpha sp. HFCC57";19
"Bolbitius vitellinus";2
"Boleodorus volutus";13
"Bos taurus";13
"Botryochloris sp. SiM-2003";22
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";24
"Bradyrhizobium sp. URHC0015";24
"Bradysia subrufescens";11
"Bresslaua vorax";30
"Bresslauides discoideus";19
"Bryometopus pseudochilodon";30
"Bryometopus sphagni";30
"Buchholzia fallax";8
"Burkholderia cepacia";24
"Caenimonas sp. TSX9-5";24
"Calluna vulgaris";12
"Campanella subdendrophora";2
"Campodea fragilis";11
"Canavalia ensiformis";12
"Candidatus Koribacter versatilis";17
"Candidatus Nitrososphaera gargensis";31
"Candidatus Solibacter usitatus";17
"Capsellina sp. ATCC 50039";32
"Catellatospora sp. KC-EP-S6";24
"Catenulispora graminis";24
"Caudiholosticha sp. Zlv-2015";30
"Caudiholosticha sylvatica";30
"Caulerpa cupressoides";22
"Caulobacter fusiformis";24
"Caulobacter profundus";24
"Cenarchaeum symbiosum";31
"Cephalobus persegnis";16
"Cerastium arcticum";12
"Ceratophysella sp. FZ-2014";3
"Cercomonas alexieffi";19
"Cercomonas braziliensis";19
"Cercomonas celer";19
"Cercomonas fastiga";19
"Cercomonas media";19
"Cercomonas parambigua";19
"Cercomonas parincurva";19
"Cercomonas radiata";19
"Cercomonas rapida";19
"Cercomonas sp. ATCC 50367";19
"Cercomonas sp. HFCC 905";19
"Cercomonas vacuolata";19
"Cetraspora nodosa";26
"Chaetosphaeria ciliata";2
"Chamaedrilus aff. glandulosus A SM-2014";8
"Chamaedrilus aff. sphagnetorum C SM-2014";8
"Cheilymenia stercorea";2
"Chitinophaga oryziterrae";24
"Chitinophaga pinensis";24
"Chitinophaga sp. BN130233";24
"Chlamydomonas philotes";22
"Chlamydomonas reinhardtii";22
"Chlamydomyxa labyrinthuloides";20
"Chlorella emersonii";22
"Chlorellidium tetrabotrys";22
"Choleva angustata";3
"Chthoniobacter flavus";24
"Chthonius sp. 2 JM-2008";9
"Chytridium polysiphoniae";23
"Cladosporium sp. CB-20";26
"Claroideoglomus claroideum";26
"Coelastrella saipanensis";22
"Colpoda inflata";19
"Colpoda sp. MD-2011";19
"Colpoda sp. PRA-118";19
"Conopodium majus";12
"Cordyceps cylindrica";25
"Cordyceps memorabilis";25
"Corythion dubium";19
"Craterocolla cerasi";2
"Cryphonectria parasitica";2
"Cryptococcus amylolentus";2
"Cultellothrix coemeterii";27
"Cultellothrix lionotiformis";27
"Cylindroiulus caeruleocinctus";14
"Cyphellophora sessilis";2
"Cytophaga hutchinsonii";24
"Dactylis glomerata";12
"Dechlorospirillum sp. SN1";24
"Demequina sp. CMS382";24
"Devosia sp. P-37";24
"Diaphanoeca spiralifurca";18
"Diaphorobacter sp. NPG-14";24
"Dileptus microstoma";27
"Dileptus sp.";27
"Dioszegia crocea";2
"Diplogasteroides magnus";28
"Discolaimus cf. major HHBM-2007a";4
"Dissophora decumbens";2
"Ditylenchus dipsaci";1
"Diversispora varaderana";26
"Dokdonella ginsengisoli";24
