"";"labels"
"Absidia glauca";2
"Achaeta affinis";4
"Achaeta bifollicula";4
"Achaeta cf. bohemica PDW-2010";4
"Achaeta unibulba";4
"Achillea millefolium";6
"Acidobacterium sp. pan6";9
"Acrobeles sp.";8
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";12
"Actinocrinis puniceicyclus";9
"Actinomadura sp. 1g12710";9
"Actinoplanes sp. IR51-RC111";9
"Acyrthosiphon pisum";4
"Adineta vaga";8
"Aeromicrobium panaciterrae";9
"Aeromicrobium sp. HJX17";9
"Aeromicrobium sp. RODSPM17";9
"Aggregicoccus edonensis";9
"Agriotes sordidus";7
"Allolobophora chlorotica";4
"Altererythrobacter buctense";9
"Altererythrobacter sp. 100921-2";9
"Ambispora fennica";4
"Ambispora gerdemannii";4
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";8
"Amphileptus sp. ZY-2014b";13
"Amphimallon solstitiale";4
"Amplimerlinius icarus";7
"Amycolatopsis tolypomycina";9
"Anatonchus tridentatus";14
"Angustibacter luteus";9
"Anoplophrya marylandensis";5
"Anteholosticha gracilis";14
"Anteholosticha monilata";14
"Anteholosticha rectangula";14
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";4
"Aphodius johnsoni";4
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";14
"Aporrectodea caliginosa";4
"Aporrectodea longa";4
"Aporrectodea rosea";4
"Apusomonas proboscidea";10
"Aquihabitans daechungensis";9
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";4
"Archaeospora trappei";4
"Arcuospathidium namibiense";13
"Arenimonas daechungensis";9
"Arenimonas sp. HMF3017";9
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";4
"Azospirillum sp. T2-YC6788";9
"Bacteriovorax sp. PNEc1";9
"Bardeliella pulchra";10
"Barynotus moerens";4
"Barynotus obscurus";4
"Bastiania gracilis";8
"Bdellovibrio exovorus";9
"Bicosoeca petiolata";8
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";5
"Blastococcus sp. URHB0062";9
"Blastococcus sp. URHD0003";9
"Blepharisma hyalinum";8
"Bodomorpha sp. HFCC56";10
"Bodomorpha sp. HFCC57";10
"Bolbitius vitellinus";2
"Boleodorus volutus";7
"Bos taurus";7
"Botryochloris sp. SiM-2003";12
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";9
"Bradyrhizobium sp. URHC0015";9
"Bradysia subrufescens";4
"Bresslaua vorax";14
"Bresslauides discoideus";10
"Bryometopus pseudochilodon";14
"Bryometopus sphagni";14
"Buchholzia fallax";4
"Burkholderia cepacia";9
"Caenimonas sp. TSX9-5";9
"Calluna vulgaris";6
"Campanella subdendrophora";2
"Campodea fragilis";4
"Canavalia ensiformis";6
"Candidatus Koribacter versatilis";9
"Candidatus Nitrososphaera gargensis";4
"Candidatus Solibacter usitatus";9
"Capsellina sp. ATCC 50039";4
"Catellatospora sp. KC-EP-S6";9
"Catenulispora graminis";9
"Caudiholosticha sp. Zlv-2015";14
"Caudiholosticha sylvatica";14
"Caulerpa cupressoides";12
"Caulobacter fusiformis";9
"Caulobacter profundus";9
"Cenarchaeum symbiosum";4
"Cephalobus persegnis";8
"Cerastium arcticum";6
"Ceratophysella sp. FZ-2014";1
"Cercomonas alexieffi";10
"Cercomonas braziliensis";10
"Cercomonas celer";10
"Cercomonas fastiga";10
"Cercomonas media";10
"Cercomonas parambigua";10
"Cercomonas parincurva";10
"Cercomonas radiata";10
"Cercomonas rapida";10
"Cercomonas sp. ATCC 50367";10
"Cercomonas sp. HFCC 905";10
"Cercomonas vacuolata";10
"Cetraspora nodosa";4
"Chaetosphaeria ciliata";2
"Chamaedrilus aff. glandulosus A SM-2014";4
"Chamaedrilus aff. sphagnetorum C SM-2014";4
"Cheilymenia stercorea";2
"Chitinophaga oryziterrae";9
"Chitinophaga pinensis";9
"Chitinophaga sp. BN130233";9
"Chlamydomonas philotes";12
"Chlamydomonas reinhardtii";12
"Chlamydomyxa labyrinthuloides";11
"Chlorella emersonii";12
"Chlorellidium tetrabotrys";12
"Choleva angustata";1
"Chthoniobacter flavus";9
"Chthonius sp. 2 JM-2008";5
"Chytridium polysiphoniae";4
"Cladosporium sp. CB-20";4
"Claroideoglomus claroideum";4
"Coelastrella saipanensis";12
"Colpoda inflata";10
"Colpoda sp. MD-2011";10
