"";"labels"
"Absidia glauca";2
"Achaeta affinis";5
"Achaeta bifollicula";5
"Achaeta cf. bohemica PDW-2010";5
"Achaeta unibulba";5
"Achillea millefolium";6
"Acidobacterium sp. pan6";8
"Acrobeles sp.";7
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";11
"Actinocrinis puniceicyclus";8
"Actinomadura sp. 1g12710";8
"Actinoplanes sp. IR51-RC111";8
"Acyrthosiphon pisum";5
"Adineta vaga";7
"Aeromicrobium panaciterrae";8
"Aeromicrobium sp. HJX17";8
"Aeromicrobium sp. RODSPM17";8
"Aggregicoccus edonensis";8
"Agriotes sordidus";5
"Allolobophora chlorotica";5
"Altererythrobacter buctense";8
"Altererythrobacter sp. 100921-2";8
"Ambispora fennica";5
"Ambispora gerdemannii";5
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";7
"Amphileptus sp. ZY-2014b";12
"Amphimallon solstitiale";5
"Amplimerlinius icarus";5
"Amycolatopsis tolypomycina";8
"Anatonchus tridentatus";13
"Angustibacter luteus";8
"Anoplophrya marylandensis";4
"Anteholosticha gracilis";13
"Anteholosticha monilata";13
"Anteholosticha rectangula";13
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";5
"Aphodius johnsoni";5
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";13
"Aporrectodea caliginosa";5
"Aporrectodea longa";5
"Aporrectodea rosea";5
"Apusomonas proboscidea";9
"Aquihabitans daechungensis";8
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";5
"Archaeospora trappei";5
"Arcuospathidium namibiense";12
"Arenimonas daechungensis";8
"Arenimonas sp. HMF3017";8
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";5
"Azospirillum sp. T2-YC6788";8
"Bacteriovorax sp. PNEc1";8
"Bardeliella pulchra";9
"Barynotus moerens";5
"Barynotus obscurus";5
"Bastiania gracilis";7
"Bdellovibrio exovorus";8
"Bicosoeca petiolata";7
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";4
"Blastococcus sp. URHB0062";8
"Blastococcus sp. URHD0003";8
"Blepharisma hyalinum";7
"Bodomorpha sp. HFCC56";9
"Bodomorpha sp. HFCC57";9
"Bolbitius vitellinus";2
"Boleodorus volutus";5
"Bos taurus";5
"Botryochloris sp. SiM-2003";11
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";8
"Bradyrhizobium sp. URHC0015";8
"Bradysia subrufescens";5
"Bresslaua vorax";13
"Bresslauides discoideus";9
"Bryometopus pseudochilodon";13
"Bryometopus sphagni";13
"Buchholzia fallax";5
"Burkholderia cepacia";8
"Caenimonas sp. TSX9-5";8
"Calluna vulgaris";6
"Campanella subdendrophora";2
"Campodea fragilis";5
"Canavalia ensiformis";6
"Candidatus Koribacter versatilis";8
"Candidatus Nitrososphaera gargensis";5
"Candidatus Solibacter usitatus";8
"Capsellina sp. ATCC 50039";5
"Catellatospora sp. KC-EP-S6";8
"Catenulispora graminis";8
