"";"labels"
"Absidia glauca";2
"Achaeta affinis";5
"Achaeta bifollicula";5
"Achaeta cf. bohemica PDW-2010";5
"Achaeta unibulba";5
"Achillea millefolium";5
"Acidobacterium sp. pan6";7
"Acrobeles sp.";6
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";10
"Actinocrinis puniceicyclus";7
"Actinomadura sp. 1g12710";7
"Actinoplanes sp. IR51-RC111";7
"Acyrthosiphon pisum";5
"Adineta vaga";6
"Aeromicrobium panaciterrae";7
"Aeromicrobium sp. HJX17";7
"Aeromicrobium sp. RODSPM17";7
"Aggregicoccus edonensis";7
"Agriotes sordidus";4
"Allolobophora chlorotica";5
"Altererythrobacter buctense";7
"Altererythrobacter sp. 100921-2";7
"Ambispora fennica";5
"Ambispora gerdemannii";5
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";6
"Amphileptus sp. ZY-2014b";11
"Amphimallon solstitiale";5
"Amplimerlinius icarus";4
"Amycolatopsis tolypomycina";7
"Anatonchus tridentatus";12
"Angustibacter luteus";7
"Anoplophrya marylandensis";4
"Anteholosticha gracilis";12
"Anteholosticha monilata";12
"Anteholosticha rectangula";12
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";5
"Aphodius johnsoni";5
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";12
"Aporrectodea caliginosa";5
"Aporrectodea longa";5
"Aporrectodea rosea";5
"Apusomonas proboscidea";8
"Aquihabitans daechungensis";7
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";5
"Archaeospora trappei";5
"Arcuospathidium namibiense";11
"Arenimonas daechungensis";7
"Arenimonas sp. HMF3017";7
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";5
"Azospirillum sp. T2-YC6788";7
"Bacteriovorax sp. PNEc1";7
"Bardeliella pulchra";8
"Barynotus moerens";5
"Barynotus obscurus";5
"Bastiania gracilis";6
"Bdellovibrio exovorus";7
"Bicosoeca petiolata";6
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";4
"Blastococcus sp. URHB0062";7
"Blastococcus sp. URHD0003";7
"Blepharisma hyalinum";6
"Bodomorpha sp. HFCC56";8
"Bodomorpha sp. HFCC57";8
"Bolbitius vitellinus";2
"Boleodorus volutus";4
"Bos taurus";4
"Botryochloris sp. SiM-2003";10
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";7
"Bradyrhizobium sp. URHC0015";7
"Bradysia subrufescens";5
"Bresslaua vorax";12
"Bresslauides discoideus";8
"Bryometopus pseudochilodon";12
"Bryometopus sphagni";12
"Buchholzia fallax";5
"Burkholderia cepacia";7
"Caenimonas sp. TSX9-5";7
"Calluna vulgaris";5
"Campanella subdendrophora";2
"Campodea fragilis";5
"Canavalia ensiformis";5
"Candidatus Koribacter versatilis";7
"Candidatus Nitrososphaera gargensis";4
"Candidatus Solibacter usitatus";7
"Capsellina sp. ATCC 50039";4
"Catellatospora sp. KC-EP-S6";7
"Catenulispora graminis";7
