"";"labels"
"Absidia glauca";2
"Achaeta affinis";2
"Achaeta bifollicula";2
"Achaeta cf. bohemica PDW-2010";2
"Achaeta unibulba";2
"Achillea millefolium";2
"Acidobacterium sp. pan6";4
"Acrobeles sp.";3
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";2
"Actinocrinis puniceicyclus";4
"Actinomadura sp. 1g12710";4
"Actinoplanes sp. IR51-RC111";4
"Acyrthosiphon pisum";2
"Adineta vaga";3
"Aeromicrobium panaciterrae";4
"Aeromicrobium sp. HJX17";4
"Aeromicrobium sp. RODSPM17";4
"Aggregicoccus edonensis";4
"Agriotes sordidus";2
"Allolobophora chlorotica";2
"Altererythrobacter buctense";4
"Altererythrobacter sp. 100921-2";4
"Ambispora fennica";2
"Ambispora gerdemannii";2
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";3
"Amphileptus sp. ZY-2014b";2
"Amphimallon solstitiale";2
"Amplimerlinius icarus";2
"Amycolatopsis tolypomycina";4
"Anatonchus tridentatus";2
"Angustibacter luteus";4
"Anoplophrya marylandensis";1
"Anteholosticha gracilis";2
"Anteholosticha monilata";2
"Anteholosticha rectangula";2
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";2
"Aphodius johnsoni";2
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";2
"Aporrectodea caliginosa";2
"Aporrectodea longa";2
"Aporrectodea rosea";2
"Apusomonas proboscidea";3
"Aquihabitans daechungensis";4
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";2
"Archaeospora trappei";2
"Arcuospathidium namibiense";2
"Arenimonas daechungensis";4
"Arenimonas sp. HMF3017";4
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";2
"Azospirillum sp. T2-YC6788";4
"Bacteriovorax sp. PNEc1";4
"Bardeliella pulchra";3
"Barynotus moerens";2
"Barynotus obscurus";2
"Bastiania gracilis";3
"Bdellovibrio exovorus";4
"Bicosoeca petiolata";3
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";2
"Blastococcus sp. URHB0062";4
"Blastococcus sp. URHD0003";4
"Blepharisma hyalinum";3
"Bodomorpha sp. HFCC56";3
"Bodomorpha sp. HFCC57";3
"Bolbitius vitellinus";2
"Boleodorus volutus";2
"Bos taurus";2
"Botryochloris sp. SiM-2003";2
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";4
"Bradyrhizobium sp. URHC0015";4
"Bradysia subrufescens";2
"Bresslaua vorax";2
"Bresslauides discoideus";3
"Bryometopus pseudochilodon";2
"Bryometopus sphagni";2
"Buchholzia fallax";2
"Burkholderia cepacia";4
"Caenimonas sp. TSX9-5";4
"Calluna vulgaris";2
"Campanella subdendrophora";2
"Campodea fragilis";2
"Canavalia ensiformis";2
"Candidatus Koribacter versatilis";4
