"";"labels"
"Absidia glauca";2
"Achaeta affinis";8
"Achaeta bifollicula";8
"Achaeta cf. bohemica PDW-2010";8
"Achaeta unibulba";8
"Achillea millefolium";12
"Acidobacterium sp. pan6";15
"Acrobeles sp.";14
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";20
"Actinocrinis puniceicyclus";22
"Actinomadura sp. 1g12710";22
"Actinoplanes sp. IR51-RC111";22
"Acyrthosiphon pisum";11
"Adineta vaga";16
"Aeromicrobium panaciterrae";22
"Aeromicrobium sp. HJX17";22
"Aeromicrobium sp. RODSPM17";22
"Aggregicoccus edonensis";22
"Agriotes sordidus";11
"Allolobophora chlorotica";27
"Altererythrobacter buctense";22
"Altererythrobacter sp. 100921-2";22
"Ambispora fennica";24
"Ambispora gerdemannii";24
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";14
"Amphileptus sp. ZY-2014b";25
"Amphimallon solstitiale";11
"Amplimerlinius icarus";13
"Amycolatopsis tolypomycina";22
"Anatonchus tridentatus";26
"Angustibacter luteus";22
"Anoplophrya marylandensis";7
"Anteholosticha gracilis";28
"Anteholosticha monilata";28
"Anteholosticha rectangula";28
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";11
"Aphodius johnsoni";11
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";26
"Aporrectodea caliginosa";27
"Aporrectodea longa";27
"Aporrectodea rosea";27
"Apusomonas proboscidea";17
"Aquihabitans daechungensis";22
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";24
"Archaeospora trappei";24
"Arcuospathidium namibiense";25
"Arenimonas daechungensis";22
"Arenimonas sp. HMF3017";22
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";11
"Azospirillum sp. T2-YC6788";22
"Bacteriovorax sp. PNEc1";22
"Bardeliella pulchra";17
"Barynotus moerens";11
"Barynotus obscurus";11
"Bastiania gracilis";14
"Bdellovibrio exovorus";22
"Bicosoeca petiolata";16
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";9
"Blastococcus sp. URHB0062";22
"Blastococcus sp. URHD0003";22
"Blepharisma hyalinum";16
"Bodomorpha sp. HFCC56";17
"Bodomorpha sp. HFCC57";17
"Bolbitius vitellinus";2
"Boleodorus volutus";13
"Bos taurus";13
"Botryochloris sp. SiM-2003";20
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";22
"Bradyrhizobium sp. URHC0015";22
"Bradysia subrufescens";11
"Bresslaua vorax";28
"Bresslauides discoideus";17
"Bryometopus pseudochilodon";28
"Bryometopus sphagni";28
"Buchholzia fallax";8
"Burkholderia cepacia";22
"Caenimonas sp. TSX9-5";22
"Calluna vulgaris";12
"Campanella subdendrophora";2
"Campodea fragilis";11
"Canavalia ensiformis";12
"Candidatus Koribacter versatilis";15
"Candidatus Nitrososphaera gargensis";29
"Candidatus Solibacter usitatus";15
"Capsellina sp. ATCC 50039";30
"Catellatospora sp. KC-EP-S6";22
"Catenulispora graminis";22
"Caudiholosticha sp. Zlv-2015";28
"Caudiholosticha sylvatica";28
"Caulerpa cupressoides";20
"Caulobacter fusiformis";22
"Caulobacter profundus";22
"Cenarchaeum symbiosum";29
"Cephalobus persegnis";14
"Cerastium arcticum";12
"Ceratophysella sp. FZ-2014";3
"Cercomonas alexieffi";17
"Cercomonas braziliensis";17
"Cercomonas celer";17
"Cercomonas fastiga";17
"Cercomonas media";17
"Cercomonas parambigua";17
"Cercomonas parincurva";17
"Cercomonas radiata";17
"Cercomonas rapida";17
"Cercomonas sp. ATCC 50367";17
"Cercomonas sp. HFCC 905";17
"Cercomonas vacuolata";17
"Cetraspora nodosa";24
"Chaetosphaeria ciliata";2
"Chamaedrilus aff. glandulosus A SM-2014";8
"Chamaedrilus aff. sphagnetorum C SM-2014";8
"Cheilymenia stercorea";2
"Chitinophaga oryziterrae";22
"Chitinophaga pinensis";22
"Chitinophaga sp. BN130233";22
"Chlamydomonas philotes";20
"Chlamydomonas reinhardtii";20
"Chlamydomyxa labyrinthuloides";18
"Chlorella emersonii";20
"Chlorellidium tetrabotrys";20
"Choleva angustata";3
"Chthoniobacter flavus";22
"Chthonius sp. 2 JM-2008";9
"Chytridium polysiphoniae";21
"Cladosporium sp. CB-20";24
"Claroideoglomus claroideum";24
"Coelastrella saipanensis";20
"Colpoda inflata";17
"Colpoda sp. MD-2011";17
"Colpoda sp. PRA-118";17
"Conopodium majus";12
"Cordyceps cylindrica";23
"Cordyceps memorabilis";23
"Corythion dubium";17
"Craterocolla cerasi";2
"Cryphonectria parasitica";2
"Cryptococcus amylolentus";2
"Cultellothrix coemeterii";25
"Cultellothrix lionotiformis";25
"Cylindroiulus caeruleocinctus";11
"Cyphellophora sessilis";2
"Cytophaga hutchinsonii";22
"Dactylis glomerata";12
"Dechlorospirillum sp. SN1";22
"Demequina sp. CMS382";22
"Devosia sp. P-37";22
"Diaphanoeca spiralifurca";16
"Diaphorobacter sp. NPG-14";22
"Dileptus microstoma";25
"Dileptus sp.";25
"Dioszegia crocea";2
"Diplogasteroides magnus";26
"Discolaimus cf. major HHBM-2007a";4
"Dissophora decumbens";2
"Ditylenchus dipsaci";1
"Diversispora varaderana";24
"Dokdonella ginsengisoli";22
