Adineta vaga;1;14;Pred1free::Protist
Bicosoeca petiolata;1;14;Pred1free::Protist
Blepharisma hyalinum;1;14;Pred1free::Protist
Diaphanoeca spiralifurca;1;14;Pred1free::Protist
Homalogastra setosa;1;14;Pred1free::Protist
Lacrymaria marina;1;14;Pred1free::Protist
Leptopharynx bromelicola;1;14;Pred1free::Protist
Meseres corlissi;1;14;Pred1free::Protist
Monosiga ovata;1;14;Pred1free::Protist
Notholca acuminata;1;14;Pred1free::Protist
Protaspis obliqua;1;14;Pred1free::Protist
Protocyclidium sinica;1;14;Pred1free::Protist
Pseudoplatynematum denticulatum;1;14;Pred1free::Protist
Pseudovorticella punctata;1;14;Pred1free::Protist
Pseudovorticella sp. 5 PS-2016;1;14;Pred1free::Protist
Siluania monomastiga;1;14;Pred1free::Protist
Sphaeroeca volvox;1;14;Pred1free::Protist
Tachysoma pellionellum;1;14;Pred1free::Protist
Trichocerca rattus;1;14;Pred1free::Protist
Vorticella campanula;1;14;Pred1free::Protist
Vorticella sp. PPS-2011b;1;14;Pred1free::Protist
;;;
Chlamydomyxa labyrinthuloides;2;16;Phytophageous::Algae
Epipyxis pulchra;2;16;Phytophageous::Algae
Ochromonas sp. CCMP2761;2;16;Phytophageous::Algae
Ochromonas vasocystis;2;16;Phytophageous::Algae
Paraphysomonas sp. 22 JMS-2012;2;16;Phytophageous::Algae
Poterioochromonas malhamensis;2;16;Phytophageous::Algae
Poterioochromonas stipitata;2;16;Phytophageous::Algae
Spumella lacusvadosi;2;16;Phytophageous::Algae
Spumella sp. 37G;2;16;Phytophageous::Algae
Spumella sp. CH3;2;16;Phytophageous::Algae
Spumella sp. SpiG;2;16;Phytophageous::Algae
Spumella vulgaris;2;16;Phytophageous::Algae
;;;
;;;
Apusomonas proboscidea;3;24;Algivorous::Protist
;;;
Bardeliella pulchra;3;17;Bacterivorous::Protist
Bodomorpha sp. HFCC56;3;17;Bacterivorous::Protist
Bodomorpha sp. HFCC57;3;17;Bacterivorous::Protist
Bresslauides discoideus;3;17;Bacterivorous::Protist
Cercomonas alexieffi;3;15;Pred1attach::Protist
Cercomonas braziliensis;3;15;Pred1attach::Protist
Cercomonas celer;3;15;Pred1attach::Protist
Cercomonas fastiga;3;15;Pred1attach::Protist
Cercomonas media;3;15;Pred1attach::Protist
Cercomonas parambigua;3;15;Pred1attach::Protist
Cercomonas parincurva;3;15;Pred1attach::Protist
Cercomonas radiata;3;15;Pred1attach::Protist
Cercomonas rapida;3;15;Pred1attach::Protist
Cercomonas sp. ATCC 50367;3;15;Pred1attach::Protist
Cercomonas sp. HFCC 905;3;15;Pred1attach::Protist
Cercomonas vacuolata;3;15;Pred1attach::Protist
Colpoda inflata;3;15;Pred1attach::Protist
Colpoda sp. MD-2011;3;15;Pred1attach::Protist
Colpoda sp. PRA-118;3;15;Pred1attach::Protist
